"source","category","menu","route_or_key","parent_menu","note"
"legacy","หน้าหลัก","Owner Daily Control (เปิดทุกเช้า)","ownerDaily","",""
"legacy","หน้าหลัก","ตรวจจับความผิดปกติ","anomalyDetector","",""
"legacy","หน้าหลัก","Daily Report (รายงานประจำวัน)","dailyReport","",""
"legacy","หน้าหลัก","Dashboard","dashboard","",""
"legacy","หน้าหลัก","Profit & Cost Analysis","profitCostAnalysis","",""
"legacy","หน้าหลัก","รายการรอขาย + วางแผนการขาย (LME)","pendingSales","",""
"legacy","หน้าหลัก","วางแผนสต๊อก vs PO Sell","stockPlanning","",""
"legacy","หน้าหลัก","Sales Tracking Dashboard","salesCommission","",""
"legacy","หน้าหลัก","Cash Flow Calendar","cashFlowCalendar","",""
"legacy","หน้าหลัก","Business Calendar","businessCalendar","",""
"legacy","หน้าหลัก","Cash & Others Summary","cashOthersSummary","",""
"legacy","Tracking 360°","Customer Tracking","customerTracking","",""
"legacy","Tracking 360°","Supplier Tracking","supplierTracking","",""
"legacy","Tracking 360°","Product Tracking","productTracking","",""
"legacy","รายการประจำวัน","ชั่งสินค้า (ใบชั่ง)","weighing","",""
"legacy","รายการประจำวัน","บิลรับซื้อ","purchase","",""
"legacy","รายการประจำวัน","บิลขาย","sales","",""
"legacy","รายการประจำวัน","เบิกออกรอบิล (Pending Sale)","stockIssue","",""
"legacy","รายการประจำวัน","อนุมัติโอนเงิน (Payment Approval)","paymentApproval","",""
"legacy","รายการประจำวัน","จ่ายเงิน Supplier","payment","",""
"legacy","รายการประจำวัน","ใบสำคัญรับเงิน (Receipt Voucher)","receiptVoucher","",""
"legacy","รายการประจำวัน","รับเงิน Customer","receipt","",""
"legacy","รายการประจำวัน","โอนเงินระหว่างบัญชี","transfer","",""
"legacy","รายการประจำวัน","ค่าใช้จ่าย","expense","",""
"legacy","รายการประจำวัน","เงินสำรองจ่าย / กู้กรรมการ","pettyAdvance","",""
"legacy","รายการประจำวัน","Dashboard ค่าใช้จ่าย","expenseDashboard","",""
"legacy","รายการประจำวัน","โอนสินค้าระหว่างสาขา","stockTransfer","",""
"legacy","รายการประจำวัน","ประวัติเปลี่ยน Supplier ในบิล","billSwapHistory","",""
"legacy","การผลิต","ใบสั่งผลิต","production","",""
"legacy","การผลิต","Production Dashboard","productionDashboard","",""
